"district","year","Coverage_stock"
"Ablekuma Central",1970,0
"Ablekuma Central",1971,0
"Ablekuma Central",1972,0
"Ablekuma Central",1973,0
"Ablekuma Central",1974,0
"Ablekuma Central",1975,0
"Ablekuma Central",1976,0
"Ablekuma Central",1977,0
"Ablekuma Central",1978,0
"Ablekuma Central",1979,0
"Ablekuma Central",1980,0.26191485
"Ablekuma Central",1981,0.251582535008228
"Ablekuma Central",1982,0.24166444403397
"Ablekuma Central",1983,0.231837929859814
"Ablekuma Central",1984,0.222329242252652
"Ablekuma Central",1985,0.213434718231857
"Ablekuma Central",1986,0.20494539450948
"Ablekuma Central",1987,0.196851992605747
"Ablekuma Central",1988,0.189159616244797
"Ablekuma Central",1989,0.181886245353684
"Ablekuma Central",1990,0.337015379398074
"Ablekuma Central",1991,0.324343529771473
"Ablekuma Central",1992,0.31230599501474
"Ablekuma Central",1993,0.300903154603337
"Ablekuma Central",1994,0.290104429288196
"Ablekuma Central",1995,0.279949435722104
"Ablekuma Central",1996,0.270340760554076
"Ablekuma Central",1997,0.261276753934146
"Ablekuma Central",1998,0.252569187508398
"Ablekuma Central",1999,0.244175263328876
"Ablekuma Central",2000,0.269378945307895
"Ablekuma Central",2001,0.293999656654083
"Ablekuma Central",2002,0.31470530618821
"Ablekuma Central",2003,0.33183282325431
"Ablekuma Central",2004,0.349747828447125
"Ablekuma Central",2005,0.368890968383484
"Ablekuma Central",2006,0.386203965667558
"Ablekuma Central",2007,0.404897276485136
"Ablekuma Central",2008,0.421521249989217
"Ablekuma Central",2009,0.437960541502015
"Ablekuma Central",2010,0.452199670805178
"Ablekuma Central",2011,0.462775860766518
"Ablekuma Central",2012,0.473013421288544
"Ablekuma Central",2013,0.484601362541353
"Ablekuma Central",2014,0.493967610966992
"Ablekuma Central",2015,0.509209572961336
"Ablekuma Central",2016,0.497218054225797
"Ablekuma Central",2017,0.486550397155397
"Ablekuma Central",2018,1
"Ablekuma Central",2019,0.998470239444753
"Ablekuma Central",2020,0.995468482719124
"Ablekuma Central",2021,0.995588025446088
"Ablekuma Central",2022,0.995702842107411
"Ablekuma Central",2023,0.99581294504512
"Ablekuma Central",2024,0.995919157917326
"Ablekuma Central",2025,0.996021198436162
"Ablekuma North",1970,0
"Ablekuma North",1971,0
"Ablekuma North",1972,0
"Ablekuma North",1973,0
"Ablekuma North",1974,0
"Ablekuma North",1975,0
"Ablekuma North",1976,0
"Ablekuma North",1977,0
"Ablekuma North",1978,0
"Ablekuma North",1979,0
"Ablekuma North",1980,0.26191485
"Ablekuma North",1981,0.251582535008228
"Ablekuma North",1982,0.24166444403397
"Ablekuma North",1983,0.231837929859814
"Ablekuma North",1984,0.222329242252652
"Ablekuma North",1985,0.213434718231857
"Ablekuma North",1986,0.20494539450948
"Ablekuma North",1987,0.196851992605747
"Ablekuma North",1988,0.189159616244797
"Ablekuma North",1989,0.181886245353685
"Ablekuma North",1990,0.337015379398074
"Ablekuma North",1991,0.324343529771473
"Ablekuma North",1992,0.31230599501474
"Ablekuma North",1993,0.300903154603337
"Ablekuma North",1994,0.290104429288196
"Ablekuma North",1995,0.279949435722104
"Ablekuma North",1996,0.270340760554076
"Ablekuma North",1997,0.261276753934146
"Ablekuma North",1998,0.252569187508398
"Ablekuma North",1999,0.244175263328876
"Ablekuma North",2000,0.269378945307895
"Ablekuma North",2001,0.293999656654083
"Ablekuma North",2002,0.31470530618821
"Ablekuma North",2003,0.33183282325431
"Ablekuma North",2004,0.349747828447125
"Ablekuma North",2005,0.368890968383483
"Ablekuma North",2006,0.386203965667558
"Ablekuma North",2007,0.404897276485136
"Ablekuma North",2008,0.421521249989217
"Ablekuma North",2009,0.437960541502015
"Ablekuma North",2010,0.452199670805177
"Ablekuma North",2011,0.462775860766518
"Ablekuma North",2012,0.473013421288544
"Ablekuma North",2013,0.484601362541353
"Ablekuma North",2014,0.493967610966992
"Ablekuma North",2015,0.509209572961336
"Ablekuma North",2016,0.494064087160996
"Ablekuma North",2017,0.483848403555552
"Ablekuma North",2018,1
"Ablekuma North",2019,1
"Ablekuma North",2020,0.99112340500792
"Ablekuma North",2021,0.988210292474956
"Ablekuma North",2022,0.983282878240972
"Ablekuma North",2023,0.983711208840337
"Ablekuma North",2024,0.981177043029734
"Ablekuma North",2025,0.981647706744813
"Ablekuma West",1970,0
"Ablekuma West",1971,0
"Ablekuma West",1972,0
"Ablekuma West",1973,0
"Ablekuma West",1974,0
"Ablekuma West",1975,0
"Ablekuma West",1976,0
"Ablekuma West",1977,0
"Ablekuma West",1978,0
"Ablekuma West",1979,0
"Ablekuma West",1980,0.26191485
"Ablekuma West",1981,0.251582535008228
"Ablekuma West",1982,0.24166444403397
"Ablekuma West",1983,0.231837929859814
"Ablekuma West",1984,0.222329242252652
"Ablekuma West",1985,0.213434718231857
"Ablekuma West",1986,0.20494539450948
"Ablekuma West",1987,0.196851992605747
"Ablekuma West",1988,0.189159616244797
"Ablekuma West",1989,0.181886245353685
"Ablekuma West",1990,0.337015379398074
"Ablekuma West",1991,0.324343529771473
"Ablekuma West",1992,0.31230599501474
"Ablekuma West",1993,0.300903154603337
"Ablekuma West",1994,0.290104429288196
"Ablekuma West",1995,0.279949435722104
"Ablekuma West",1996,0.270340760554076
"Ablekuma West",1997,0.261276753934146
"Ablekuma West",1998,0.252569187508398
"Ablekuma West",1999,0.244175263328876
"Ablekuma West",2000,0.269378945307895
"Ablekuma West",2001,0.293999656654083
"Ablekuma West",2002,0.31470530618821
"Ablekuma West",2003,0.33183282325431
"Ablekuma West",2004,0.349747828447125
"Ablekuma West",2005,0.368890968383484
"Ablekuma West",2006,0.386203965667558
"Ablekuma West",2007,0.404897276485135
"Ablekuma West",2008,0.421521249989217
"Ablekuma West",2009,0.437960541502015
"Ablekuma West",2010,0.452199670805177
"Ablekuma West",2011,0.462775860766518
"Ablekuma West",2012,0.473013421288544
"Ablekuma West",2013,0.484601362541353
"Ablekuma West",2014,0.493967610966992
"Ablekuma West",2015,0.509209572961336
"Ablekuma West",2016,0.523807215736252
"Ablekuma West",2017,0.537561424283783
"Ablekuma West",2018,1
"Ablekuma West",2019,1
"Ablekuma West",2020,0.998049262122855
"Ablekuma West",2021,0.998100723148152
"Ablekuma West",2022,0.998150149685951
"Ablekuma West",2023,0.998197547049275
"Ablekuma West",2024,0.998243269808345
"Ablekuma West",2025,0.998287196443236
"Abuakwa North",1970,0
"Abuakwa North",1971,0
"Abuakwa North",1972,0
