"district","year","Coverage_stock"
"Ablekuma Central",1970,0
"Ablekuma Central",1971,0
"Ablekuma Central",1972,0
"Ablekuma Central",1973,0
"Ablekuma Central",1974,0
"Ablekuma Central",1975,0
"Ablekuma Central",1976,0
"Ablekuma Central",1977,0
"Ablekuma Central",1978,0
"Ablekuma Central",1979,0
"Ablekuma Central",1980,0.26191485
"Ablekuma Central",1981,0.251582535006321
"Ablekuma Central",1982,0.241664444030089
"Ablekuma Central",1983,0.23183792985648
"Ablekuma Central",1984,0.222329242249378
"Ablekuma Central",1985,0.213434718227811
"Ablekuma Central",1986,0.204945394506762
"Ablekuma Central",1987,0.196851992602626
"Ablekuma Central",1988,0.18915961624318
"Ablekuma Central",1989,0.181886245353193
"Ablekuma Central",1990,0.438557376615045
"Ablekuma Central",1991,0.422067526395041
"Ablekuma Central",1992,0.406403108726047
"Ablekuma Central",1993,0.391564617419485
"Ablekuma Central",1994,0.377512259767039
"Ablekuma Central",1995,0.364297588833904
"Ablekuma Central",1996,0.351793840840677
"Ablekuma Central",1997,0.3399988688336
"Ablekuma Central",1998,0.328667731681012
"Ablekuma Central",1999,0.317744736489874
"Ablekuma Central",2000,0.34049517564358
"Ablekuma Central",2001,0.36271938861228
"Ablekuma Central",2002,0.381124410425031
"Ablekuma Central",2003,0.396050149358905
"Ablekuma Central",2004,0.411860501493097
"Ablekuma Central",2005,0.428994427298146
"Ablekuma Central",2006,0.444354509386424
"Ablekuma Central",2007,0.461185020981322
"Ablekuma Central",2008,0.476038327963083
"Ablekuma Central",2009,0.490782941425491
"Ablekuma Central",2010,0.503388446133183
"Ablekuma Central",2011,0.512375632973923
"Ablekuma Central",2012,0.521071205557674
"Ablekuma Central",2013,0.531170816980981
"Ablekuma Central",2014,0.539106386341732
"Ablekuma Central",2015,0.552988744652961
"Ablekuma Central",2016,0.539695096387085
"Ablekuma Central",2017,0.527800545259534
"Ablekuma Central",2018,1
"Ablekuma Central",2019,0.998470239445121
"Ablekuma Central",2020,0.995468482719598
"Ablekuma Central",2021,0.99558802544657
"Ablekuma Central",2022,0.995702842107851
"Ablekuma Central",2023,0.995812945045552
"Ablekuma Central",2024,0.995919157917732
"Ablekuma Central",2025,0.996021198436562
"Ablekuma North",1970,0
"Ablekuma North",1971,0
"Ablekuma North",1972,0
"Ablekuma North",1973,0
"Ablekuma North",1974,0
"Ablekuma North",1975,0
"Ablekuma North",1976,0
"Ablekuma North",1977,0
"Ablekuma North",1978,0
"Ablekuma North",1979,0
"Ablekuma North",1980,0.26191485
"Ablekuma North",1981,0.251582535005714
"Ablekuma North",1982,0.241664444033811
"Ablekuma North",1983,0.231837929860565
"Ablekuma North",1984,0.222329242253144
"Ablekuma North",1985,0.213434718232096
"Ablekuma North",1986,0.204945394511413
"Ablekuma North",1987,0.196851992607969
"Ablekuma North",1988,0.189159616246682
"Ablekuma North",1989,0.18188624535574
"Ablekuma North",1990,0.43855737661559
"Ablekuma North",1991,0.422067526388804
"Ablekuma North",1992,0.40640310871929
"Ablekuma North",1993,0.391564617413243
"Ablekuma North",1994,0.377512259764943
"Ablekuma North",1995,0.364297588831578
"Ablekuma North",1996,0.351793840837572
"Ablekuma North",1997,0.339998868833328
"Ablekuma North",1998,0.328667731674987
"Ablekuma North",1999,0.317744736486233
"Ablekuma North",2000,0.340495175653254
"Ablekuma North",2001,0.362719388612393
"Ablekuma North",2002,0.381124410425224
"Ablekuma North",2003,0.396050149368751
"Ablekuma North",2004,0.41186050149972
"Ablekuma North",2005,0.42899442730681
"Ablekuma North",2006,0.44435450940074
"Ablekuma North",2007,0.461185020983903
"Ablekuma North",2008,0.476038327965577
"Ablekuma North",2009,0.490782941432038
"Ablekuma North",2010,0.503388446138832
"Ablekuma North",2011,0.512375632976699
"Ablekuma North",2012,0.521071205563025
"Ablekuma North",2013,0.531170816986513
"Ablekuma North",2014,0.53910638634357
"Ablekuma North",2015,0.552988744659405
"Ablekuma North",2016,0.536541129321507
"Ablekuma North",2017,0.525098551661849
"Ablekuma North",2018,1
"Ablekuma North",2019,1
"Ablekuma North",2020,0.991123405007549
"Ablekuma North",2021,0.988210292474566
"Ablekuma North",2022,0.983282878239838
"Ablekuma North",2023,0.983711208839269
"Ablekuma North",2024,0.981177043027885
"Ablekuma North",2025,0.981647706742841
"Ablekuma West",1970,0
"Ablekuma West",1971,0
"Ablekuma West",1972,0
"Ablekuma West",1973,0
"Ablekuma West",1974,0
"Ablekuma West",1975,0
"Ablekuma West",1976,0
"Ablekuma West",1977,0
"Ablekuma West",1978,0
"Ablekuma West",1979,0
"Ablekuma West",1980,0.26191485
"Ablekuma West",1981,0.251582535006126
"Ablekuma West",1982,0.241664444033683
"Ablekuma West",1983,0.231837929859899
"Ablekuma West",1984,0.222329242255434
"Ablekuma West",1985,0.213434718233164
"Ablekuma West",1986,0.20494539451088
"Ablekuma West",1987,0.196851992606726
"Ablekuma West",1988,0.189159616244966
"Ablekuma West",1989,0.181886245354506
"Ablekuma West",1990,0.438557376617074
"Ablekuma West",1991,0.422067526395557
"Ablekuma West",1992,0.40640310872935
"Ablekuma West",1993,0.391564617423675
"Ablekuma West",1994,0.3775122597733
"Ablekuma West",1995,0.36429758883871
"Ablekuma West",1996,0.35179384084141
"Ablekuma West",1997,0.339998868835295
"Ablekuma West",1998,0.32866773167666
"Ablekuma West",1999,0.317744736490211
"Ablekuma West",2000,0.340495175654444
"Ablekuma West",2001,0.362719388616637
"Ablekuma West",2002,0.381124410433958
"Ablekuma West",2003,0.396050149371791
"Ablekuma West",2004,0.41186050150625
"Ablekuma West",2005,0.428994427314749
"Ablekuma West",2006,0.444354509402846
"Ablekuma West",2007,0.46118502099207
"Ablekuma West",2008,0.476038327977134
"Ablekuma West",2009,0.490782941436939
"Ablekuma West",2010,0.503388446139334
"Ablekuma West",2011,0.512375632978728
"Ablekuma West",2012,0.521071205559864
"Ablekuma West",2013,0.531170816985367
"Ablekuma West",2014,0.539106386342241
"Ablekuma West",2015,0.552988744660066
"Ablekuma West",2016,0.56628425790185
"Ablekuma West",2017,0.578811572389979
"Ablekuma West",2018,1
"Ablekuma West",2019,1
"Ablekuma West",2020,0.998049262123101
"Ablekuma West",2021,0.99810072314841
"Ablekuma West",2022,0.9981501496862
"Ablekuma West",2023,0.99819754704953
"Ablekuma West",2024,0.998243269808579
"Ablekuma West",2025,0.998287196443453
"Abuakwa North",1970,0
"Abuakwa North",1971,0
"Abuakwa North",1972,0
