"district","year","Coverage_stock"
"Ablekuma Central",1970,0
"Ablekuma Central",1971,0
"Ablekuma Central",1972,0
"Ablekuma Central",1973,0
"Ablekuma Central",1974,0
"Ablekuma Central",1975,0
"Ablekuma Central",1976,0
"Ablekuma Central",1977,0
"Ablekuma Central",1978,0
"Ablekuma Central",1979,0
"Ablekuma Central",1980,0.26191485
"Ablekuma Central",1981,0.251582535008228
"Ablekuma Central",1982,0.24166444403397
"Ablekuma Central",1983,0.231837929859814
"Ablekuma Central",1984,0.222329242252652
"Ablekuma Central",1985,0.213434718231857
"Ablekuma Central",1986,0.20494539450948
"Ablekuma Central",1987,0.196851992605747
"Ablekuma Central",1988,0.189159616244797
"Ablekuma Central",1989,0.181886245353684
"Ablekuma Central",1990,0.406122406877079
"Ablekuma Central",1991,0.390852118384217
"Ablekuma Central",1992,0.376346214834645
"Ablekuma Central",1993,0.362605153517546
"Ablekuma Central",1994,0.349592084725189
"Ablekuma Central",1995,0.33735474874293
"Ablekuma Central",1996,0.325775757027154
"Ablekuma Central",1997,0.31485312141625
"Ablekuma Central",1998,0.304360016201934
"Ablekuma Central",1999,0.294244867459998
"Ablekuma Central",2000,0.317778931711376
"Ablekuma Central",2001,0.340768644215214
"Ablekuma Central",2002,0.359908542167355
"Ablekuma Central",2003,0.375537582289585
"Ablekuma Central",2004,0.392020211513908
"Ablekuma Central",2005,0.409795928908373
"Ablekuma Central",2006,0.425779819342936
"Ablekuma Central",2007,0.443205354059057
"Ablekuma Central",2008,0.458624254753712
"Ablekuma Central",2009,0.473910189371547
"Ablekuma Central",2010,0.487037513282744
"Ablekuma Central",2011,0.496532266149182
"Ablekuma Central",2012,0.505720386974018
"Ablekuma Central",2013,0.516295406938892
"Ablekuma Central",2014,0.52468796979351
"Ablekuma Central",2015,0.539004618405086
"Ablekuma Central",2016,0.526126901802008
"Ablekuma Central",2017,0.51462425031008
"Ablekuma Central",2018,1
"Ablekuma Central",2019,0.998470239444753
"Ablekuma Central",2020,0.995468482719124
"Ablekuma Central",2021,0.995588025446088
"Ablekuma Central",2022,0.995702842107411
"Ablekuma Central",2023,0.99581294504512
"Ablekuma Central",2024,0.995919157917326
"Ablekuma Central",2025,0.996021198436162
"Ablekuma North",1970,0
"Ablekuma North",1971,0
"Ablekuma North",1972,0
"Ablekuma North",1973,0
"Ablekuma North",1974,0
"Ablekuma North",1975,0
"Ablekuma North",1976,0
"Ablekuma North",1977,0
"Ablekuma North",1978,0
"Ablekuma North",1979,0
"Ablekuma North",1980,0.26191485
"Ablekuma North",1981,0.251582535008228
"Ablekuma North",1982,0.24166444403397
"Ablekuma North",1983,0.231837929859814
"Ablekuma North",1984,0.222329242252652
"Ablekuma North",1985,0.213434718231857
"Ablekuma North",1986,0.20494539450948
"Ablekuma North",1987,0.196851992605747
"Ablekuma North",1988,0.189159616244797
"Ablekuma North",1989,0.181886245353685
"Ablekuma North",1990,0.406122406877079
"Ablekuma North",1991,0.390852118384217
"Ablekuma North",1992,0.376346214834645
"Ablekuma North",1993,0.362605153517546
"Ablekuma North",1994,0.349592084725189
"Ablekuma North",1995,0.33735474874293
"Ablekuma North",1996,0.325775757027154
"Ablekuma North",1997,0.31485312141625
"Ablekuma North",1998,0.304360016201934
"Ablekuma North",1999,0.294244867459999
"Ablekuma North",2000,0.317778931711376
"Ablekuma North",2001,0.340768644215214
"Ablekuma North",2002,0.359908542167355
"Ablekuma North",2003,0.375537582289586
"Ablekuma North",2004,0.392020211513908
"Ablekuma North",2005,0.409795928908373
"Ablekuma North",2006,0.425779819342936
"Ablekuma North",2007,0.443205354059057
"Ablekuma North",2008,0.458624254753712
"Ablekuma North",2009,0.473910189371547
"Ablekuma North",2010,0.487037513282744
"Ablekuma North",2011,0.496532266149181
"Ablekuma North",2012,0.505720386974017
"Ablekuma North",2013,0.516295406938892
"Ablekuma North",2014,0.52468796979351
"Ablekuma North",2015,0.539004618405086
"Ablekuma North",2016,0.522972934737207
"Ablekuma North",2017,0.511922256710235
"Ablekuma North",2018,1
"Ablekuma North",2019,1
"Ablekuma North",2020,0.99112340500792
"Ablekuma North",2021,0.988210292474956
"Ablekuma North",2022,0.983282878240972
"Ablekuma North",2023,0.983711208840337
"Ablekuma North",2024,0.981177043029734
"Ablekuma North",2025,0.981647706744813
"Ablekuma West",1970,0
"Ablekuma West",1971,0
"Ablekuma West",1972,0
"Ablekuma West",1973,0
"Ablekuma West",1974,0
"Ablekuma West",1975,0
"Ablekuma West",1976,0
"Ablekuma West",1977,0
"Ablekuma West",1978,0
"Ablekuma West",1979,0
"Ablekuma West",1980,0.26191485
"Ablekuma West",1981,0.251582535008228
"Ablekuma West",1982,0.24166444403397
"Ablekuma West",1983,0.231837929859814
"Ablekuma West",1984,0.222329242252652
"Ablekuma West",1985,0.213434718231857
"Ablekuma West",1986,0.20494539450948
"Ablekuma West",1987,0.196851992605747
"Ablekuma West",1988,0.189159616244797
"Ablekuma West",1989,0.181886245353685
"Ablekuma West",1990,0.406122406877079
"Ablekuma West",1991,0.390852118384217
"Ablekuma West",1992,0.376346214834645
"Ablekuma West",1993,0.362605153517547
"Ablekuma West",1994,0.349592084725189
"Ablekuma West",1995,0.33735474874293
"Ablekuma West",1996,0.325775757027154
"Ablekuma West",1997,0.31485312141625
"Ablekuma West",1998,0.304360016201934
"Ablekuma West",1999,0.294244867459999
"Ablekuma West",2000,0.317778931711376
"Ablekuma West",2001,0.340768644215214
"Ablekuma West",2002,0.359908542167355
"Ablekuma West",2003,0.375537582289586
"Ablekuma West",2004,0.392020211513908
"Ablekuma West",2005,0.409795928908373
"Ablekuma West",2006,0.425779819342936
"Ablekuma West",2007,0.443205354059057
"Ablekuma West",2008,0.458624254753712
"Ablekuma West",2009,0.473910189371547
"Ablekuma West",2010,0.487037513282744
"Ablekuma West",2011,0.496532266149181
"Ablekuma West",2012,0.505720386974017
"Ablekuma West",2013,0.516295406938892
"Ablekuma West",2014,0.52468796979351
"Ablekuma West",2015,0.539004618405086
"Ablekuma West",2016,0.552716063312462
"Ablekuma West",2017,0.565635277438466
"Ablekuma West",2018,1
"Ablekuma West",2019,1
"Ablekuma West",2020,0.998049262122855
"Ablekuma West",2021,0.998100723148152
"Ablekuma West",2022,0.998150149685951
"Ablekuma West",2023,0.998197547049275
"Ablekuma West",2024,0.998243269808345
"Ablekuma West",2025,0.998287196443236
"Abuakwa North",1970,0
"Abuakwa North",1971,0
"Abuakwa North",1972,0
