district,region,district_history,year,infants,infants_vax,routine,noninfants,shearer_con,shearer_un,shearer_opt,polici,supplementary,total_pop
Ablekuma Central,Greater Accra,Accra (pre-2019),1970,2238.619476,,,46792.17995,0,0,0,,,49030.79942
Ablekuma Central,Greater Accra,Accra (pre-2019),1971,2215.832884,,,48090.43716,,,,,,50306.27005
Ablekuma Central,Greater Accra,Accra (pre-2019),1972,2161.270624,,,49560.65031,,,,,,51721.92093
Ablekuma Central,Greater Accra,Accra (pre-2019),1973,2243.386769,,,50925.7166,,,,,,53169.10337
Ablekuma Central,Greater Accra,Accra (pre-2019),1974,2306.274761,,,52409.60665,,,,,,54715.88141
Ablekuma Central,Greater Accra,Accra (pre-2019),1975,2349.615103,,,53979.26804,,,,,,56328.88315
Ablekuma Central,Greater Accra,Accra (pre-2019),1976,2396.447963,,,55587.54758,,,,,,57983.99555
Ablekuma Central,Greater Accra,Accra (pre-2019),1977,2428.403706,,,57258.64455,,,,,,59687.04825
Ablekuma Central,Greater Accra,Accra (pre-2019),1978,2577.050082,,,58843.06216,,,,,,61420.11224
Ablekuma Central,Greater Accra,Accra (pre-2019),1979,2657.577663,,,60652.51335,,,,,,63310.09101
Ablekuma Central,Greater Accra,Accra (pre-2019),1980,2744.765858,,,62522.68213,,,,,0.26191485,65267.44799
Ablekuma Central,Greater Accra,Accra (pre-2019),1981,2654.815659,,,64642.36271,,,,,,67297.17837
Ablekuma Central,Greater Accra,Accra (pre-2019),1982,2728.12977,,,66473.6758,,,,,,69201.80557
Ablekuma Central,Greater Accra,Accra (pre-2019),1983,2894.577381,,,68292.05311,,,,,,71186.63049
Ablekuma Central,Greater Accra,Accra (pre-2019),1984,3008.032685,,,70332.90556,,,,,,73340.93825
Ablekuma Central,Greater Accra,Accra (pre-2019),1985,3024.423583,,,72574.65308,,,,,,75599.07667
Ablekuma Central,Greater Accra,Accra (pre-2019),1986,3072.045834,,,74163.93414,,,,,,77235.97998
Ablekuma Central,Greater Accra,Accra (pre-2019),1987,3116.643526,,,75804.64873,,,,,,78921.29225
Ablekuma Central,Greater Accra,Accra (pre-2019),1988,3153.930735,,,77556.83024,,,,,,80710.76098
Ablekuma Central,Greater Accra,Accra (pre-2019),1989,3176.957239,,,79446.63246,,,,,,82623.5897
Ablekuma Central,Greater Accra,Accra (pre-2019),1990,3212.842881,,,81469.63117,,,,,0.319475445,84682.47406
Ablekuma Central,Greater Accra,Accra (pre-2019),1991,3265.7942,,,83589.94541,,,,,,86855.73961
Ablekuma Central,Greater Accra,Accra (pre-2019),1992,3307.398857,,,85808.30808,,,,,,89115.70694
Ablekuma Central,Greater Accra,Accra (pre-2019),1993,3335.212298,,,88011.04509,,,,,,91346.25739
Ablekuma Central,Greater Accra,Accra (pre-2019),1994,3361.164017,,,90296.63597,,,,,,93657.79999
Ablekuma Central,Greater Accra,Accra (pre-2019),1995,3359.457221,,,92612.38298,,,,,,95971.8402
Ablekuma Central,Greater Accra,Accra (pre-2019),1996,3372.980668,,,94899.05146,,,,,,98272.03213
Ablekuma Central,Greater Accra,Accra (pre-2019),1997,3373.284347,,,97237.43827,,,,,,100610.7226
Ablekuma Central,Greater Accra,Accra (pre-2019),1998,3431.744005,,,99540.18756,,,,,,102971.9316
Ablekuma Central,Greater Accra,Accra (pre-2019),1999,3506.60004,,,102005.3279,,,,,,105511.9279
Ablekuma Central,Greater Accra,Accra (pre-2019),2000,3604.869364,4055.708673,1.12506398,104500.3448,0.223383709,0.28236197,0.310311068,0.081,,108105.2142
Ablekuma Central,Greater Accra,Accra (pre-2019),2001,3537.537124,4195.312622,1.185941652,101439.0847,,,,,,104976.6218
Ablekuma Central,Greater Accra,Accra (pre-2019),2002,3721.141046,3395.456537,0.912477247,107429.313,,,,,,111150.4541
Ablekuma Central,Greater Accra,Accra (pre-2019),2003,3807.857834,3165.7618,0.831376049,111060.4402,,,,,,114868.2981
Ablekuma Central,Greater Accra,Accra (pre-2019),2004,3851.231294,3383.14015,0.878456756,113657.8162,,,,,,117509.0475
Ablekuma Central,Greater Accra,Accra (pre-2019),2005,4173.257063,3929.276825,0.941537213,124838.4535,,,,,,129011.7106
Ablekuma Central,Greater Accra,Accra (pre-2019),2006,4259.865123,3841.208,0.901720568,126842.9238,,,,,,131102.7889
Ablekuma Central,Greater Accra,Accra (pre-2019),2007,4343.638512,4212.236652,0.969748436,131250.6529,,,,,,135594.2914
Ablekuma Central,Greater Accra,Accra (pre-2019),2008,4432.423544,4137.033625,0.933357019,136469.9548,,,,,,140902.3784
Ablekuma Central,Greater Accra,Accra (pre-2019),2009,4467.790704,4246.037825,0.950366323,139259.1515,,,,,,143726.9422
Ablekuma Central,Greater Accra,Accra (pre-2019),2010,4694.663421,4217.569971,0.898375366,147104.8314,,,,,,151799.4948
Ablekuma Central,Greater Accra,Accra (pre-2019),2011,4874.282982,3864.844514,0.792905239,152147.7977,,,,,,157022.0806
Ablekuma Central,Greater Accra,Accra (pre-2019),2012,5108.598663,4046.411075,0.792078482,159215.2094,,,,,,164323.8081
