district,region,district_history,year,infants,infants_vax,routine,noninfants,shearer_con,shearer_un,shearer_opt,polici,supplementary,total_pop
Ablekuma Central,Greater Accra,Accra (pre-2019),1970,2238.61947644258,,,46792.17994772012,0.0,0.0,0.0,,,49030.7994241627
Ablekuma Central,Greater Accra,Accra (pre-2019),1971,2215.83288358174,,,48090.437164012365,,,,,,50306.2700475941
Ablekuma Central,Greater Accra,Accra (pre-2019),1972,2161.27062408551,,,49560.65030728819,,,,,,51721.9209313737
Ablekuma Central,Greater Accra,Accra (pre-2019),1973,2243.38676869215,,,50925.71660337175,,,,,,53169.1033720639
Ablekuma Central,Greater Accra,Accra (pre-2019),1974,2306.27476118605,,,52409.60664894345,,,,,,54715.8814101295
Ablekuma Central,Greater Accra,Accra (pre-2019),1975,2349.61510266199,,,53979.26804499321,,,,,,56328.8831476552
Ablekuma Central,Greater Accra,Accra (pre-2019),1976,2396.44796320438,,,55587.54758199392,,,,,,57983.9955451983
Ablekuma Central,Greater Accra,Accra (pre-2019),1977,2428.40370594286,,,57258.64454844704,,,,,,59687.0482543899
Ablekuma Central,Greater Accra,Accra (pre-2019),1978,2577.05008162113,,,58843.06215717087,,,,,,61420.112238792
Ablekuma Central,Greater Accra,Accra (pre-2019),1979,2657.57766289956,,,60652.51335003094,,,,,,63310.0910129305
Ablekuma Central,Greater Accra,Accra (pre-2019),1980,2744.765857544,,,62522.6821286218,,,,,0.26191485,65267.4479861658
Ablekuma Central,Greater Accra,Accra (pre-2019),1981,2654.81565850194,,,64642.36271129546,,,,,,67297.1783697974
Ablekuma Central,Greater Accra,Accra (pre-2019),1982,2728.12976953477,,,66473.67580296032,,,,,,69201.8055724951
Ablekuma Central,Greater Accra,Accra (pre-2019),1983,2894.57738121766,,,68292.05311131563,,,,,,71186.6304925333
Ablekuma Central,Greater Accra,Accra (pre-2019),1984,3008.03268478631,,,70332.9055605967,,,,,,73340.938245383
Ablekuma Central,Greater Accra,Accra (pre-2019),1985,3024.42358253536,,,72574.65308352254,,,,,,75599.0766660579
Ablekuma Central,Greater Accra,Accra (pre-2019),1986,3072.04583423425,,,74163.93414103675,,,,,,77235.979975271
Ablekuma Central,Greater Accra,Accra (pre-2019),1987,3116.64352597723,,,75804.64872842378,,,,,,78921.292254401
Ablekuma Central,Greater Accra,Accra (pre-2019),1988,3153.93073541086,,,77556.83024059524,,,,,,80710.7609760061
Ablekuma Central,Greater Accra,Accra (pre-2019),1989,3176.95723940271,,,79446.63245899779,,,,,,82623.5896984005
Ablekuma Central,Greater Accra,Accra (pre-2019),1990,3212.84288099341,,,81469.6311745388,,,,,0.280161021,84682.4740555322
Ablekuma Central,Greater Accra,Accra (pre-2019),1991,3265.79420046439,,,83589.94540640802,,,,,,86855.7396068724
Ablekuma Central,Greater Accra,Accra (pre-2019),1992,3307.39885698096,,,85808.30808088204,,,,,,89115.706937863
Ablekuma Central,Greater Accra,Accra (pre-2019),1993,3335.21229761282,,,88011.04509188278,,,,,,91346.2573894956
Ablekuma Central,Greater Accra,Accra (pre-2019),1994,3361.16401657756,,,90296.63597480934,,,,,,93657.7999913869
Ablekuma Central,Greater Accra,Accra (pre-2019),1995,3359.45722075818,,,92612.38297816982,,,,,,95971.840198928
Ablekuma Central,Greater Accra,Accra (pre-2019),1996,3372.98066833655,,,94899.05145783644,,,,,,98272.032126173
Ablekuma Central,Greater Accra,Accra (pre-2019),1997,3373.28434659409,,,97237.4382689679,,,,,,100610.722615562
Ablekuma Central,Greater Accra,Accra (pre-2019),1998,3431.74400543954,,,99540.18755777246,,,,,,102971.931563212
Ablekuma Central,Greater Accra,Accra (pre-2019),1999,3506.60004006796,,,102005.32788483704,,,,,,105511.927924905
Ablekuma Central,Greater Accra,Accra (pre-2019),2000,3604.86936427319,4055.708673,1.12506398,104500.3447966458,0.223383709,0.28236197,0.310311068,0.081,,108105.214160919
Ablekuma Central,Greater Accra,Accra (pre-2019),2001,3537.5371240005,4195.312622,1.185941652,101439.0847212445,,,,,,104976.621845245
