"district","year","Coverage_stock"
"Ablekuma Central",1970,0
"Ablekuma Central",1971,0
"Ablekuma Central",1972,0
"Ablekuma Central",1973,0
"Ablekuma Central",1974,0
"Ablekuma Central",1975,0
"Ablekuma Central",1976,0
"Ablekuma Central",1977,0
"Ablekuma Central",1978,0
"Ablekuma Central",1979,0
"Ablekuma Central",1980,0.26191485
"Ablekuma Central",1981,0.251582535008228
"Ablekuma Central",1982,0.24166444403397
"Ablekuma Central",1983,0.231837929859814
"Ablekuma Central",1984,0.222329242252652
"Ablekuma Central",1985,0.213434718231857
"Ablekuma Central",1986,0.20494539450948
"Ablekuma Central",1987,0.196851992605747
"Ablekuma Central",1988,0.189159616244797
"Ablekuma Central",1989,0.181886245353684
"Ablekuma Central",1990,0.438557376615129
"Ablekuma Central",1991,0.422067526392182
"Ablekuma Central",1992,0.40640310872301
"Ablekuma Central",1993,0.391564617418199
"Ablekuma Central",1994,0.377512259767773
"Ablekuma Central",1995,0.364297588835416
"Ablekuma Central",1996,0.351793840840403
"Ablekuma Central",1997,0.339998868836578
"Ablekuma Central",1998,0.328667731678392
"Ablekuma Central",1999,0.317744736489708
"Ablekuma Central",2000,0.340495175653367
"Ablekuma Central",2001,0.362719388612163
"Ablekuma Central",2002,0.381124410430405
"Ablekuma Central",2003,0.396050149367494
"Ablekuma Central",2004,0.41186050150385
"Ablekuma Central",2005,0.428994427312374
"Ablekuma Central",2006,0.444354509401894
"Ablekuma Central",2007,0.461185020992503
"Ablekuma Central",2008,0.476038327976479
"Ablekuma Central",2009,0.490782941438565
"Ablekuma Central",2010,0.503388446143258
"Ablekuma Central",2011,0.51237563298166
"Ablekuma Central",2012,0.521071205565572
"Ablekuma Central",2013,0.531170816986342
"Ablekuma Central",2014,0.539106386345761
"Ablekuma Central",2015,0.552988744659184
"Ablekuma Central",2016,0.539695096390918
"Ablekuma Central",2017,0.527800545264732
"Ablekuma Central",2018,1
"Ablekuma Central",2019,0.998470239444753
"Ablekuma Central",2020,0.995468482719124
"Ablekuma Central",2021,0.995588025446088
"Ablekuma Central",2022,0.995702842107411
"Ablekuma Central",2023,0.99581294504512
"Ablekuma Central",2024,0.995919157917326
"Ablekuma Central",2025,0.996021198436162
"Ablekuma North",1970,0
"Ablekuma North",1971,0
"Ablekuma North",1972,0
"Ablekuma North",1973,0
"Ablekuma North",1974,0
"Ablekuma North",1975,0
"Ablekuma North",1976,0
"Ablekuma North",1977,0
"Ablekuma North",1978,0
"Ablekuma North",1979,0
"Ablekuma North",1980,0.26191485
"Ablekuma North",1981,0.251582535008228
"Ablekuma North",1982,0.24166444403397
"Ablekuma North",1983,0.231837929859814
"Ablekuma North",1984,0.222329242252652
"Ablekuma North",1985,0.213434718231857
"Ablekuma North",1986,0.20494539450948
"Ablekuma North",1987,0.196851992605747
"Ablekuma North",1988,0.189159616244797
"Ablekuma North",1989,0.181886245353685
"Ablekuma North",1990,0.438557376615129
"Ablekuma North",1991,0.422067526392183
"Ablekuma North",1992,0.40640310872301
"Ablekuma North",1993,0.391564617418199
"Ablekuma North",1994,0.377512259767773
"Ablekuma North",1995,0.364297588835416
"Ablekuma North",1996,0.351793840840403
"Ablekuma North",1997,0.339998868836578
"Ablekuma North",1998,0.328667731678392
"Ablekuma North",1999,0.317744736489708
"Ablekuma North",2000,0.340495175653368
"Ablekuma North",2001,0.362719388612163
"Ablekuma North",2002,0.381124410430405
"Ablekuma North",2003,0.396050149367494
"Ablekuma North",2004,0.411860501503851
"Ablekuma North",2005,0.428994427312374
"Ablekuma North",2006,0.444354509401894
"Ablekuma North",2007,0.461185020992503
"Ablekuma North",2008,0.476038327976479
"Ablekuma North",2009,0.490782941438565
"Ablekuma North",2010,0.503388446143258
"Ablekuma North",2011,0.51237563298166
"Ablekuma North",2012,0.521071205565572
"Ablekuma North",2013,0.531170816986342
"Ablekuma North",2014,0.539106386345761
"Ablekuma North",2015,0.552988744659185
"Ablekuma North",2016,0.536541129326117
"Ablekuma North",2017,0.525098551664888
"Ablekuma North",2018,1
"Ablekuma North",2019,1
"Ablekuma North",2020,0.99112340500792
"Ablekuma North",2021,0.988210292474956
"Ablekuma North",2022,0.983282878240972
"Ablekuma North",2023,0.983711208840337
"Ablekuma North",2024,0.981177043029735
"Ablekuma North",2025,0.981647706744813
"Ablekuma West",1970,0
"Ablekuma West",1971,0
"Ablekuma West",1972,0
"Ablekuma West",1973,0
"Ablekuma West",1974,0
"Ablekuma West",1975,0
"Ablekuma West",1976,0
"Ablekuma West",1977,0
"Ablekuma West",1978,0
"Ablekuma West",1979,0
"Ablekuma West",1980,0.26191485
"Ablekuma West",1981,0.251582535008228
"Ablekuma West",1982,0.24166444403397
"Ablekuma West",1983,0.231837929859814
"Ablekuma West",1984,0.222329242252652
"Ablekuma West",1985,0.213434718231857
"Ablekuma West",1986,0.20494539450948
"Ablekuma West",1987,0.196851992605747
"Ablekuma West",1988,0.189159616244797
"Ablekuma West",1989,0.181886245353685
"Ablekuma West",1990,0.438557376615129
"Ablekuma West",1991,0.422067526392182
"Ablekuma West",1992,0.40640310872301
"Ablekuma West",1993,0.391564617418199
"Ablekuma West",1994,0.377512259767773
"Ablekuma West",1995,0.364297588835416
"Ablekuma West",1996,0.351793840840403
"Ablekuma West",1997,0.339998868836578
"Ablekuma West",1998,0.328667731678392
"Ablekuma West",1999,0.317744736489708
"Ablekuma West",2000,0.340495175653368
"Ablekuma West",2001,0.362719388612163
"Ablekuma West",2002,0.381124410430405
"Ablekuma West",2003,0.396050149367494
"Ablekuma West",2004,0.41186050150385
"Ablekuma West",2005,0.428994427312374
"Ablekuma West",2006,0.444354509401894
"Ablekuma West",2007,0.461185020992503
"Ablekuma West",2008,0.476038327976478
"Ablekuma West",2009,0.490782941438565
"Ablekuma West",2010,0.503388446143257
"Ablekuma West",2011,0.51237563298166
"Ablekuma West",2012,0.521071205565572
"Ablekuma West",2013,0.531170816986342
"Ablekuma West",2014,0.539106386345761
"Ablekuma West",2015,0.552988744659184
"Ablekuma West",2016,0.566284257901373
"Ablekuma West",2017,0.578811572393118
"Ablekuma West",2018,1
"Ablekuma West",2019,1
"Ablekuma West",2020,0.998049262122855
"Ablekuma West",2021,0.998100723148152
"Ablekuma West",2022,0.998150149685951
"Ablekuma West",2023,0.998197547049275
"Ablekuma West",2024,0.998243269808345
"Ablekuma West",2025,0.998287196443236
"Abuakwa North",1970,0
"Abuakwa North",1971,0
"Abuakwa North",1972,0
